RollNumber,Name,Branch,Phone,Python_Attended,Python_Conducted,DBMS_Attended,DBMS_Conducted,OS_Attended,OS_Conducted,CN_Attended,CN_Conducted,DAA_Attended,DAA_Conducted,Java_Attended,Java_Conducted,Software Engineering_Attended,Software Engineering_Conducted,Compiler Design_Attended,Compiler Design_Conducted,Computer Graphics_Attended,Computer Graphics_Conducted,AI_Attended,AI_Conducted,Machine Learning_Attended,Machine Learning_Conducted,Deep Learning_Attended,Deep Learning_Conducted,Statistics_Attended,Statistics_Conducted,NLP_Attended,NLP_Conducted,Computer Vision_Attended,Computer Vision_Conducted,Data Mining_Attended,Data Mining_Conducted,Cloud Computing_Attended,Cloud Computing_Conducted,Data Science_Attended,Data Science_Conducted,Big Data_Attended,Big Data_Conducted,ML_Attended,ML_Conducted,Data Visualization_Attended,Data Visualization_Conducted,R Programming_Attended,R Programming_Conducted,Signals_Attended,Signals_Conducted,Digital Electronics_Attended,Digital Electronics_Conducted,VLSI_Attended,VLSI_Conducted,Communication Systems_Attended,Communication Systems_Conducted,Networks_Attended,Networks_Conducted,Embedded Systems_Attended,Embedded Systems_Conducted,Microprocessors_Attended,Microprocessors_Conducted,DSP_Attended,DSP_Conducted,IoT_Attended,IoT_Conducted,Control Systems_Attended,Control Systems_Conducted,Power Systems_Attended,Power Systems_Conducted,Machines_Attended,Machines_Conducted,Circuits_Attended,Circuits_Conducted,Measurements_Attended,Measurements_Conducted,Power Electronics_Attended,Power Electronics_Conducted,Electrical Drives_Attended,Electrical Drives_Conducted,Renewable Energy_Attended,Renewable Energy_Conducted,Protection_Attended,Protection_Conducted,HV Engineering_Attended,HV Engineering_Conducted,Web Technology_Attended,Web Technology_Conducted,Cyber Security_Attended,Cyber Security_Conducted,Mobile Computing_Attended,Mobile Computing_Conducted,Data Analytics_Attended,Data Analytics_Conducted,Thermodynamics_Attended,Thermodynamics_Conducted,Mechanics_Attended,Mechanics_Conducted,Manufacturing_Attended,Manufacturing_Conducted,CAD_Attended,CAD_Conducted,Heat Transfer_Attended,Heat Transfer_Conducted,Fluid Mechanics_Attended,Fluid Mechanics_Conducted,Machine Design_Attended,Machine Design_Conducted,Automation_Attended,Automation_Conducted,Industrial Engineering_Attended,Industrial Engineering_Conducted,Robotics_Attended,Robotics_Conducted,Surveying_Attended,Surveying_Conducted,Structures_Attended,Structures_Conducted,Geotechnical_Attended,Geotechnical_Conducted,Transportation_Attended,Transportation_Conducted,Concrete Tech_Attended,Concrete Tech_Conducted,Hydraulics_Attended,Hydraulics_Conducted,Environmental Engineering_Attended,Environmental Engineering_Conducted,Construction Management_Attended,Construction Management_Conducted,Steel Structures_Attended,Steel Structures_Conducted,Estimation_Attended,Estimation_Conducted,Ethical Hacking_Attended,Ethical Hacking_Conducted,Cryptography_Attended,Cryptography_Conducted,Digital Forensics_Attended,Digital Forensics_Conducted,Cloud Security_Attended,Cloud Security_Conducted,Web Security_Attended,Web Security_Conducted,Malware Analysis_Attended,Malware Analysis_Conducted,SOC Operations_Attended,SOC Operations_Conducted,Data Engineering_Attended,Data Engineering_Conducted,Visualization_Attended,Visualization_Conducted,Predictive Analytics_Attended,Predictive Analytics_Conducted
"23CSE011","Student_11","CSE","",126,150,129,150,146,150,150,150,138,150,97,150,129,150,135,150,83,150,106,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23AIML012","Student_12","AIML","",135,150,96,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,150,146,150,146,150,100,150,97,150,143,150,116,150,96,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23AIDS013","Student_13","AIDS","",115,150,112,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,150,0,0,0,0,109,150,0,0,0,0,0,0,129,150,81,150,139,150,75,150,130,150,89,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23ECE014","Student_14","ECE","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,150,115,150,84,150,97,150,87,150,147,150,71,150,82,150,139,150,145,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23EEE015","Student_15","EEE","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,150,136,150,92,150,113,150,92,150,76,150,134,150,114,150,117,150,82,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23IT016","Student_16","IT","",102,150,72,150,0,0,103,150,0,0,92,150,139,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,150,137,150,114,150,76,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23MECH017","Student_17","MECH","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,150,101,150,130,150,78,150,119,150,108,150,85,150,122,150,75,150,146,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23CIVIL018","Student_18","CIVIL","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,150,126,150,107,150,90,150,103,150,144,150,76,150,72,150,118,150,70,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23CYBER019","Student_19","CYBER","",134,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,150,133,150,146,150,120,150,145,150,72,150,117,150,0,0,0,0,0,0
"23DS020","Student_20","DS","",72,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,150,0,0,80,150,76,150,0,0,0,0,108,150,0,0,0,0,124,150,77,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,150,150,150,112,150
"23CSE021","Student_21","CSE","",116,150,94,150,147,150,126,150,89,150,92,150,144,150,85,150,142,150,123,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23AIML022","Student_22","AIML","",143,150,148,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,138,150,104,150,137,150,141,150,121,150,132,150,103,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23AIDS023","Student_23","AIDS","",106,150,133,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,150,0,0,0,0,72,150,0,0,0,0,0,0,101,150,142,150,125,150,129,150,86,150,107,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23ECE024","Student_24","ECE","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,150,145,150,115,150,132,150,91,150,71,150,83,150,78,150,137,150,102,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23EEE025","Student_25","EEE","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,150,141,150,140,150,96,150,76,150,140,150,109,150,91,150,141,150,70,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23IT026","Student_26","IT","",116,150,82,150,0,0,119,150,0,0,129,150,85,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,150,104,150,85,150,129,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23MECH027","Student_27","MECH","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,150,88,150,100,150,90,150,83,150,92,150,75,150,150,150,91,150,125,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23CIVIL028","Student_28","CIVIL","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,150,76,150,141,150,140,150,105,150,82,150,130,150,78,150,110,150,118,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23CYBER029","Student_29","CYBER","",98,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,150,120,150,107,150,118,150,134,150,96,150,115,150,0,0,0,0,0,0
"23DS030","Student_30","CIVIL","",124,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,150,0,0,101,150,127,150,0,0,0,0,146,150,0,0,0,0,117,150,125,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,150,108,150,145,150
"23CSE031","Student_31","CSE","",102,150,122,150,130,150,83,150,146,150,86,150,86,150,116,150,85,150,101,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23AIML032","Student_32","AIML","",147,150,73,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,150,148,150,143,150,93,150,137,150,84,150,150,150,80,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23AIDS033","Student_33","AIDS","",123,150,135,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,150,0,0,0,0,73,150,0,0,0,0,0,0,101,150,106,150,93,150,122,150,89,150,72,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23ECE034","Student_34","ECE","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,150,146,150,132,150,137,150,132,150,89,150,103,150,78,150,119,150,127,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
